# asset|x|y|z|size|yaw|pitch|roll|r|g|b
Boxes.glb|16.4425|1.3865|0.0000|0.8200|-1.4762|0.0000|0.0000|184|130|98
Boxes.glb|16.8425|1.3865|0.0000|0.8200|-0.9362|0.0000|0.0000|184|130|98
Shelf.glb|18.5117|1.2658|0.0000|0.8200|-1.6016|0.0000|0.0000|170|160|140
Cobweb.glb|16.2358|1.1355|0.9000|0.3800|-2.6576|0.0000|0.0000|170|170|170
MopBucket.glb|17.9176|1.1834|0.0000|0.6200|-1.5708|0.0000|0.0000|170|170|170
Broom.glb|17.1176|1.1834|0.0000|0.5400|-2.4708|0.0000|0.0000|170|170|170
Bench.glb|7.4488|11.8369|-0.1000|0.8800|6.2964|0.0000|0.0000|126|96|64
DisplayTable.glb|7.3136|7.2244|-0.1000|0.4600|-3.1196|0.0000|0.0000|170|170|170
Skull.glb|7.2155|7.2017|0.3000|0.3800|2.8142|0.0000|0.0000|170|170|170
Air Vent.glb|9.8000|12.0000|0.1000|0.3800|1.5268|0.0000|0.0000|170|170|170
LightSwitch.glb|9.9000|11.9500|0.5000|0.1400|1.5616|0.0000|0.0000|170|170|170
SecurityCamera.glb|15.9000|11.9000|0.9500|0.3000|-0.8661|0.0000|0.5400|170|170|170
Cobweb.glb|7.0500|11.9500|0.8000|0.5400|2.2353|1.6200|0.0000|170|170|170
MessageBoard.glb|18.9500|2.1500|0.2000|0.2200|3.1272|0.0000|0.0000|170|170|170
SecurityCamera.glb|18.9000|3.9500|0.9000|0.3000|-0.6858|0.0000|0.5400|170|170|170
Lamp.glb|18.7500|3.8000|0.0000|0.7000|0.3498|0.0000|0.0000|170|170|170
LightSwitch.glb|16.0500|2.9000|0.4000|0.1400|6.3487|0.0000|0.0000|170|170|170
