# asset|x|y|z|size|yaw|pitch|roll|r|g|b
Boxes.glb|16.4425|1.3865|0.0000|0.8200|-1.4762|0.0000|0.0000|184|130|98
Boxes.glb|16.8425|1.3865|0.0000|0.8200|-0.9362|0.0000|0.0000|184|130|98
Shelf.glb|18.5117|1.2658|0.0000|0.8200|-1.6016|0.0000|0.0000|170|160|140
Cobweb.glb|16.2358|1.1355|0.9000|0.3800|-2.6576|0.0000|0.0000|170|170|170
MopBucket.glb|17.9176|1.1834|0.0000|0.6200|-1.5708|0.0000|0.0000|170|170|170
Broom.glb|17.1176|1.1834|0.0000|0.5400|-2.4708|0.0000|0.0000|170|170|170
Bench.glb|7.4488|11.9000|-0.1000|0.8800|6.2964|0.0000|0.0000|126|96|64
Air Vent.glb|9.8000|12.0000|0.1000|0.3800|1.5268|0.0000|0.0000|170|170|170
SecurityCamera.glb|15.9000|11.9000|0.9500|0.3000|-0.8661|0.0000|0.5400|170|170|170
Cobweb.glb|7.0500|11.9500|0.8000|0.5400|2.2353|1.6200|0.0000|170|170|170
MessageBoard.glb|18.9500|2.1500|0.2000|0.2200|3.1272|0.0000|0.0000|170|170|170
SecurityCamera.glb|18.9000|3.9500|0.9000|0.3000|-0.6858|0.0000|0.5400|170|170|170
Lamp.glb|18.7500|3.8000|0.0000|0.7000|0.3498|0.0000|0.0000|170|170|170
LightSwitch.glb|16.0500|2.9000|0.4000|0.1400|6.3487|0.0000|0.0000|170|170|170
BathroomSetup.glb|3.5000|14.1500|-0.0500|0.8600|2.7602|0.0000|0.0000|170|170|170
Boxes.glb|4.6500|14.3000|-0.0500|0.8200|3.0750|0.0000|0.0000|184|130|98
LightSwitch.glb|4.9500|16.1000|0.3500|0.2200|3.2352|0.0000|0.0000|170|170|170
MopBucket.glb|4.7500|16.7500|0.0000|0.6200|3.8054|0.0000|0.0000|170|170|170
Toilet.glb|2.2500|15.5000|-0.0500|0.6200|1.5116|0.0000|0.0000|170|170|170
TolietPaper.glb|2.0500|15.1500|0.2000|0.2200|1.4905|0.0000|0.0000|224|214|188
Trashcan.glb|2.2000|16.8000|-0.1000|0.4800|-4.0840|0.0000|0.0000|140|145|150
Vase1.glb|2.0500|14.1000|-0.1000|0.6200|-0.3875|0.0000|0.0000|188|168|130
Air Vent.glb|4.2000|14.0500|0.1000|0.3000|-1.6631|0.0000|0.0000|170|170|170
Scattered Paper.glb|3.9500|16.6000|-0.0500|0.4600|2.4707|0.0000|0.0000|224|214|188
SecurityCamera.glb|17.1000|7.0500|0.9000|0.3000|-3.7110|0.0000|0.5400|170|170|170
SecurityCamera.glb|13.9500|13.0500|0.8500|0.3800|-5.5859|0.0000|0.5400|170|170|170
SecurityCamera.glb|7.1000|17.9000|0.8500|0.3000|-2.5605|0.0000|0.5400|170|170|170
SecurityCamera.glb|1.0000|11.9500|0.8500|0.3000|3.7962|0.0000|0.5400|170|170|170
SecurityCamera.glb|7.0500|1.0000|0.8500|0.3800|2.4070|0.0000|0.5400|170|170|170
BathroomShelf.glb|2.0500|15.9500|0.0000|0.8200|4.6670|0.0000|0.0000|170|160|140
Plunger.glb|2.0500|15.7500|-0.1000|0.4600|1.1594|0.0000|0.0000|170|170|170
ToiletPaperStack.glb|2.1000|15.9500|0.2000|0.1400|3.0955|0.0000|0.0000|224|214|188
ToiletPaperStack.glb|2.1000|15.9000|0.3500|0.1400|3.0999|0.0000|0.0000|224|214|188
ToiletPaperStack.glb|2.1000|16.0500|0.3500|0.1400|2.7963|0.0000|0.0000|224|214|188
ToiletPaperStack.glb|2.0000|16.0000|0.5000|0.1400|2.8997|0.0000|0.0000|224|214|188
Cobweb.glb|2.2000|14.1500|0.6000|0.6200|-2.3869|0.7200|0.1800|170|170|170
Ladder.glb|18.7500|3.1500|-0.0500|0.8600|0.8960|0.0000|0.0000|170|170|170
Toolbox.glb|17.4500|1.2000|-0.0500|0.2600|4.7283|0.0000|0.0000|184|130|98
WoodToolbox.glb|18.4000|1.2500|0.1000|0.3400|-1.5853|0.0000|0.0000|184|130|98
Drill.glb|18.3000|1.2000|0.3000|0.2200|-0.9709|0.0000|0.0000|170|170|170
SecurityCamera.glb|18.6000|1.3000|0.3000|0.3000|-0.2509|-1.2600|0.0000|170|170|170
Plunger.glb|18.3000|1.2000|0.5500|0.4600|-0.0709|-12.2400|-1.6200|170|170|170
BookStack.glb|18.4000|14.2500|0.0500|0.2200|-1.6037|0.0000|0.0000|170|170|170
BookStack.glb|18.8000|14.2500|0.0500|0.2200|-2.2805|0.0000|0.0000|170|170|170
BookStanding.glb|18.4000|14.1000|0.2500|0.2200|0.0335|0.0000|0.0000|170|170|170
BookStanding.glb|18.6000|14.1000|0.2500|0.2200|3.1287|0.0000|0.0000|170|170|170
Cobweb.glb|18.8000|14.2000|0.2500|0.3800|-1.0113|0.0000|0.0000|170|170|170
Gold Key.glb|18.5000|14.1000|0.5000|0.3000|-1.7313|0.0000|0.0000|170|170|170
PaintStand.glb|2.8500|1.9500|-0.0500|0.7800|-1.6399|0.0000|0.0000|170|170|170
Vase1.glb|2.1500|3.8500|-0.0500|0.6200|2.6950|0.0000|0.0000|188|168|130
Vase2.glb|2.4500|3.9000|-0.0500|0.6200|2.4508|0.0000|0.0000|188|168|130
MonaLisa.glb|2.0000|2.5000|0.1500|0.7800|4.7176|0.0000|0.0000|170|170|170
WatercolorSet.glb|3.1000|1.2500|-0.1000|0.6200|-4.7533|0.0000|0.0000|170|170|170
Abstract1.glb|4.5500|3.9500|0.0000|0.7800|-0.0536|0.0000|0.0000|170|170|170
Abstract2.glb|4.5000|1.0500|0.2500|0.7800|-3.1147|0.0000|0.0000|170|170|170
Abstract3.glb|3.5500|1.0500|0.2000|0.7800|-3.1175|0.0000|0.0000|170|170|170
Stag Statue.glb|10.5000|15.5500|-0.0500|1.1000|-1.6247|0.0000|0.0000|170|170|170
Fox Statue.glb|10.5000|3.5000|-0.0500|1.0200|-0.0779|0.0000|0.0000|170|170|170
Horse Statue.glb|3.9000|9.5500|-0.0500|0.9400|-4.7419|0.0000|0.0000|170|170|170
