# asset|x|y|z|size|yaw|pitch|roll|r|g|b
OperatingTableRed.glb|12.2000|2.1500|-0.0500|1.1000|-5.6088|0.0000|0.0000|170|170|170
SecurityCamera.glb|13.8500|1.2000|0.8000|0.4600|-5.5054|0.0000|0.5400|170|170|170
Wheelchair.glb|12.6500|2.8000|-0.1000|0.6200|-6.4045|0.0000|0.0000|170|170|170
BloodBag.glb|11.8000|1.8000|-0.0500|0.8600|-0.7083|0.0000|0.0000|170|170|170
ORCanvas.glb|11.0500|3.1000|-0.0500|0.5600|2.2288|0.0000|0.0000|140|145|150
ORPaint.glb|10.6000|2.9000|0.2500|0.2100|-4.3686|0.0000|0.0000|170|170|170
MopBucket.glb|12.6500|3.4500|-0.0500|0.5400|-2.0580|0.0000|0.0000|170|170|170
Boxes.glb|13.7500|5.6500|-0.0500|0.8200|2.1006|0.0000|0.0000|184|130|98
Boxes.glb|13.9500|5.0500|-0.1000|0.8200|-0.0770|0.0000|0.0000|184|130|98
ORTable.glb|10.3000|2.9000|-0.0500|0.9400|1.5524|0.0000|0.0000|170|170|170
Shelf.glb|13.8500|4.3000|-0.0500|0.8200|3.1350|0.0000|0.0000|170|160|140
Skull.glb|10.3500|2.8500|0.2500|0.2200|1.6034|0.0000|0.0000|170|170|170
Syringe.glb|10.2000|2.9500|0.2500|0.2200|-3.0102|1.6200|0.0000|170|170|170
Drill.glb|10.1000|2.9500|0.2500|0.1400|0.2920|-1.6200|0.0000|170|170|170
Whiteboard.glb|13.9500|3.4500|0.0000|0.7800|-1.5598|1.6200|0.0000|170|170|170
Air Vent.glb|11.2500|6.0000|0.1000|0.3800|-4.6942|0.0000|0.0000|170|170|170
Blood3.glb|9.3500|1.0500|0.5000|0.6200|-1.6369|0.1800|-1.6200|170|170|170
Blood3.glb|9.7158|2.8957|0.5200|0.7800|-1.6721|0.0000|0.0000|170|170|170
Blood2.glb|10.0000|1.0500|-0.0500|0.7800|-1.6435|0.1800|-1.6200|170|170|170
Blood1.glb|10.5000|1.0500|0.5000|0.7800|-1.6489|0.3600|-1.6200|170|170|170
Plant.glb|13.7500|1.2000|-0.0500|0.9500|-0.3895|0.0000|0.0000|255|255|255
Body.glb|9.1000|5.9000|-0.0500|0.7800|-0.0683|0.0000|0.0000|170|170|170
Cobweb.glb|9.1000|5.9500|0.7500|0.3800|2.7827|0.7200|0.0000|170|170|170
Blood1.glb|11.0000|13.3500|-0.0500|0.6200|-0.0761|0.0000|0.0000|170|170|170
Blood2.glb|9.2500|5.7000|-0.0500|0.7800|2.8609|0.0000|0.0000|170|170|170
Blood3.glb|12.0500|2.8000|-0.0500|0.7800|-0.9407|0.0000|0.0000|170|170|170
Cubicle.glb|9.4500|13.3500|-0.0500|0.7800|-3.1579|0.0000|0.0000|170|170|170
FloorTrash.glb|9.4500|13.4500|-0.0500|0.3200|-0.1069|0.0000|0.0000|140|145|150
Plant.glb|12.9000|13.1000|-0.0500|0.9500|-1.8955|0.0000|0.0000|255|255|255
SecurityCamera.glb|12.9500|13.0500|0.9000|0.3800|0.9791|0.0000|0.5400|170|170|170
TallPrinter.glb|11.5000|13.2000|-0.0500|0.7800|-3.1335|0.0000|0.0000|170|170|170
Trashcan.glb|12.6000|13.1500|-0.0500|0.4000|-6.2301|0.0000|0.0000|140|145|150
Boxes.glb|12.2000|13.3500|-0.0500|0.6600|-1.4291|0.0000|0.0000|184|130|98
FileCabinet.glb|9.2000|13.8000|-0.0500|0.3800|1.5335|0.0000|0.0000|170|170|170
ORTable.glb|12.9000|15.3000|-0.0500|0.7800|0.0163|0.0000|0.0000|170|170|170
ORTable.glb|12.8500|14.5000|-0.0500|0.7800|0.0625|0.0000|0.0000|170|170|170
Typewriter.glb|12.8500|14.2500|0.2000|0.3000|-4.6263|0.0000|0.0000|170|170|170
Couch.glb|9.3500|16.7500|-0.0500|0.8200|2.6233|0.0000|0.0000|130|112|78
Microscope.glb|12.8500|14.5000|0.2000|0.3000|-2.2523|0.0000|0.0000|170|170|170
Revolver.glb|12.8000|14.7000|0.2000|0.1400|0.8627|0.0000|-1.4400|170|170|170
Note.glb|12.8000|14.8000|0.2000|0.1300|-2.9349|0.0492|1.6200|225|214|180
LabEquipment.glb|12.9000|15.0500|0.2000|0.3000|1.5417|0.0000|0.0000|170|170|170
Lamp.glb|12.9500|16.9500|-0.0500|0.7800|0.6763|0.0000|0.0000|170|170|170
Safe.glb|12.9000|15.3500|0.2000|0.2400|4.7267|0.0000|0.0000|150|160|174
Toolbox.glb|12.9000|15.5500|0.2000|0.1800|-2.6291|0.0000|0.0000|184|130|98
VendingMachine.glb|12.8500|15.9500|-0.0500|0.7800|-4.7691|0.0000|0.0000|170|170|170
Wheelchair.glb|11.8500|16.7500|-0.0500|0.5400|-0.3700|0.0000|0.0000|170|170|170
Whiteboard.glb|10.8500|16.9500|0.3500|0.7800|1.6200|0.0000|-1.6200|170|170|170
Broom.glb|9.1000|15.1040|-0.0500|0.5400|-0.3700|0.0000|0.0000|170|170|170
